AL	Limited Edition Alpha 		
001	Animate Dead	1B	Uncommon
002	Bad Moon	1B	Rare
003	Black Knight	BB	Uncommon
004	Bog Wraith	3B	Uncommon
005	Contract from Below	B	Rare
006	Cursed Land	2BB	Uncommon
007	Dark Ritual	B	Common
008	Darkpact	BBB	Rare
009	Deathgrip	BB	Uncommon
010	Deathlace	B	Rare
011	Demonic Attorney	1BB	Rare
012	Demonic Hordes	3BBB	Rare
013	Demonic Tutor	1B	Uncommon
014	Drain Life	X1B	Common
015	Drudge Skeletons	1B	Common
016	Evil Presence	B	Uncommon
017	Fear	BB	Common
018	Frozen Shade	2B	Common
019	Gloom	2B	Uncommon
020	Howl from Beyond	XB	Common
021	Hypnotic Specter	1BB	Uncommon
022	Lich	BBBB	Rare
023	Lord of the Pit	4BBB	Rare
024	Mind Twist	XB	Rare
025	Nether Shadow	BB	Rare
026	Nettling Imp	2B	Uncommon
027	Nightmare	5B	Rare
028	Paralyze	B	Common
029	Pestilence	2BB	Common
030	Plague Rats	2B	Common
031	Raise Dead	B	Common
032	Royal Assassin	1BB	Rare
033	Sacrifice	B	Uncommon
034	Scathe Zombies	2B	Common
035	Scavenging Ghoul	3B	Uncommon
036	Sengir Vampire	3BB	Uncommon
037	Simulacrum	1B	Uncommon
038	Sinkhole	BB	Common
039	Terror	1B	Common
040	Unholy Strength	B	Common
041	Wall of Bone	2B	Uncommon
042	Warp Artifact	BB	Rare
043	Weakness	B	Common
044	Will-O'-The-Wisp	B	Rare
045	Word of Command	BB	Rare
046	Zombie Master	1BB	Rare
047	Air Elemental	3UU	Uncommon
048	Ancestral Recall	U	Rare
049	Animate Artifact	3U	Uncommon
050	Blue Elemental Blast	U	Common
051	Braingeyser	XUU	Rare
052	Clone	3U	Uncommon
053	Control Magic	2UU	Uncommon
054	Copy Artifact	1U	Rare
055	Counterspell	UU	Uncommon
056	Creature Bond	1U	Common
057	Drain Power	UU	Rare
058	Feedback	2U	Uncommon
059	Flight	U	Common
060	Invisibility	UU	Common
061	Jump	U	Common
062	Lifetap	UU	Uncommon
063	Lord of Atlantis	UU	Rare
064	Magical Hack	U	Rare
065	Mahamoti Djinn	4UU	Rare
066	Mana Short	2U	Rare
067	Merfolk of the Pearl Trident	U	Common
068	Phantasmal Forces	3U	Uncommon
069	Phantasmal Terrain	UU	Common
070	Phantom Monster	3U	Uncommon
071	Pirate Ship	4U	Rare
072	Power Leak	1U	Common
073	Power Sink	XU	Common
074	Prodigal Sorcerer	2U	Common
075	Psionic Blast	2U	Uncommon
076	Psychic Venom	1U	Common
077	Sea Serpent	5U	Common
078	Siren's Call	U	Uncommon
079	Sleight of Mind	U	Rare
080	Spell Blast	XU	Common
081	Stasis	1U	Rare
082	Steal Artifact	2UU	Uncommon
083	Thoughtlace	U	Rare
084	Time Walk	1U	Rare
085	Timetwister	2U	Rare
086	Twiddle	U	Common
087	Unsummon	U	Common
088	Vesuvan Doppelganger	3UU	Rare
089	Volcanic Eruption	XUUU	Rare
090	Wall of Air	1UU	Uncommon
091	Wall of Water	1UU	Uncommon
092	Water Elemental	3UU	Uncommon
093	Aspect of Wolf	1G	Rare
094	Berserk	G	Uncommon
095	Birds of Paradise	G	Rare
096	Camouflage	G	Uncommon
097	Channel	GG	Uncommon
098	Cockatrice	3GG	Rare
099	Craw Wurm	4GG	Common
100	Elvish Archers	1G	Rare
101	Fastbond	G	Rare
102	Fog	G	Common
103	Force of Nature	2GGGG	Rare
104	Fungusaur	3G	Rare
105	Gaea's Liege	3GGG	Rare
106	Giant Growth	G	Common
107	Giant Spider	3G	Common
108	Grizzly Bears	1G	Common
109	Hurricane	XG	Uncommon
110	Ice Storm	2G	Uncommon
111	Instill Energy	G	Uncommon
112	Ironroot Treefolk	4G	Common
113	Kudzu	1GG	Rare
114	Ley Druid	2G	Uncommon
115	Lifeforce	GG	Uncommon
116	Lifelace	G	Rare
117	Living Artifact	G	Rare
118	Living Lands	3G	Rare
119	Llanowar Elves	G	Common
120	Lure	1GG	Uncommon
121	Natural Selection	G	Rare
122	Regeneration	1G	Common
123	Regrowth	1G	Uncommon
124	Scryb Sprites	G	Common
125	Shanodin Dryads	G	Common
126	Stream of Life	XG	Common
127	Thicket Basilisk	3GG	Uncommon
128	Timber Wolves	G	Rare
129	Tranquility	2G	Common
130	Tsunami	3G	Uncommon
131	Verduran Enchantress	1GG	Rare
132	Wall of Brambles	2G	Uncommon
133	Wall of Ice	2G	Uncommon
134	Wall of Wood	G	Common
135	Wanderlust	2G	Uncommon
136	War Mammoth	3G	Common
137	Web	G	Rare
138	Wild Growth	G	Common
139	Burrowing	R	Uncommon
140	Chaoslace	R	Rare
141	Disintegrate	XR	Common
142	Dragon Whelp	2RR	Uncommon
143	Dwarven Demolition Team	2R	Uncommon
144	Dwarven Warriors	2R	Common
145	Earth Elemental	3RR	Uncommon
146	Earthbind	R	Common
147	Earthquake	XR	Rare
148	False Orders	R	Common
149	Fire Elemental	3RR	Uncommon
150	Fireball	XR	Common
151	Firebreathing	R	Common
152	Flashfires	3R	Uncommon
153	Fork	RR	Rare
154	Goblin Balloon Brigade	R	Uncommon
155	Goblin King	1RR	Rare
156	Granite Gargoyle	2R	Rare
157	Gray Ogre	2R	Common
158	Hill Giant	3R	Common
159	Hurloon Minotaur	1RR	Common
160	Ironclaw Orcs	1R	Common
161	Keldon Warlord	2RR	Uncommon
162	Lightning Bolt	R	Common
163	Mana Flare	2R	Rare
164	Manabarbs	3R	Rare
165	Mons's Goblin Raiders	R	Common
166	Orcish Artillery	1RR	Uncommon
167	Orcish Oriflamme	3R	Uncommon
168	Power Surge	RR	Rare
169	Raging River	RR	Rare
170	Red Elemental Blast	R	Common
171	Roc of Kher Ridges	3R	Rare
172	Rock Hydra	XRR	Rare
173	Sedge Troll	2R	Rare
174	Shatter	1R	Common
175	Shivan Dragon	4RR	Rare
176	Smoke	RR	Rare
177	Stone Giant	2RR	Uncommon
178	Stone Rain	2R	Common
179	Tunnel	R	Uncommon
180	Two-Headed Giant of Foriys	4R	Rare
181	Uthden Troll	2R	Uncommon
182	Wall of Fire	1RR	Uncommon
183	Wall of Stone	1RR	Uncommon
184	Wheel of Fortune	2R	Rare
185	Animate Wall	W	Rare
186	Armageddon	3W	Rare
187	Balance	1W	Rare
188	Benalish Hero	W	Common
189	Black Ward	W	Uncommon
190	Blaze of Glory	W	Rare
191	Blessing	WW	Rare
192	Blue Ward	W	Uncommon
193	Castle	3W	Uncommon
194	Circle of Protection: Blue	1W	Common
195	Circle of Protection: Green	1W	Common
196	Circle of Protection: Red	1W	Common
197	Circle of Protection: White	1W	Common
198	Consecrate Land	W	Uncommon
199	Conversion	2WW	Uncommon
200	Crusade	WW	Rare
201	Death Ward	W	Common
202	Disenchant	1W	Common
203	Farmstead	WWW	Rare
204	Green Ward	W	Uncommon
205	Guardian Angel	XW	Common
206	Healing Salve	W	Common
207	Holy Armor	W	Common
208	Holy Strength	W	Common
209	Island Sanctuary	1W	Rare
210	Karma	2WW	Uncommon
211	Lance	W	Uncommon
212	Mesa Pegasus	1W	Common
213	Northern Paladin	2WW	Rare
214	Pearled Unicorn	2W	Common
215	Personal Incarnation	3WWW	Rare
216	Purelace	W	Rare
217	Red Ward	W	Uncommon
218	Resurrection	2WW	Uncommon
219	Reverse Damage	1WW	Rare
220	Righteousness	W	Rare
221	Samite Healer	1W	Common
222	Savannah Lions	W	Rare
223	Serra Angel	3WW	Uncommon
224	Swords to Plowshares	W	Uncommon
225	Veteran Bodyguard	3WW	Rare
226	Wall of Swords	3W	Uncommon
227	White Knight	WW	Uncommon
228	White Ward	W	Uncommon
229	Wrath of God	2WW	Rare
230	Ankh of Mishra	2	Rare
231	Basalt Monolith	3	Uncommon
232	Black Lotus	0	Rare
233	Black Vise	1	Uncommon
234	Celestial Prism	3	Uncommon
235	Chaos Orb	2	Rare
236	Clockwork Beast	6	Rare
237	Conservator	4	Uncommon
238	Copper Tablet	2	Uncommon
239	Crystal Rod	1	Uncommon
240	Cyclopean Tomb	4	Rare
241	Dingus Egg	4	Rare
242	Disrupting Scepter	3	Rare
243	Forcefield	3	Rare
244	Gauntlet of Might	4	Rare
245	Glasses of Urza	1	Uncommon
246	Helm of Chatzuk	1	Rare
247	Howling Mine	2	Rare
248	Icy Manipulator	4	Uncommon
249	Illusionary Mask	2	Rare
250	Iron Star	1	Uncommon
251	Ivory Cup	1	Uncommon
252	Jade Monolith	4	Rare
253	Jade Statue	4	Uncommon
254	Jayemdae Tome	4	Rare
255	Juggernaut	4	Uncommon
256	Kormus Bell	4	Rare
257	Library of Leng	1	Uncommon
258	Living Wall	4	Uncommon
259	Mana Vault	1	Rare
260	Meekstone	1	Rare
261	Mox Emerald	0	Rare
262	Mox Jet	0	Rare
263	Mox Pearl	0	Rare
264	Mox Ruby	0	Rare
265	Mox Sapphire	0	Rare
266	Nevinyrral's Disk	4	Rare
267	Obsianus Golem	6	Uncommon
268	Rod of Ruin	4	Uncommon
269	Sol Ring	1	Uncommon
270	Soul Net	1	Uncommon
271	Sunglasses of Urza	3	Rare
272	The Hive	5	Rare
273	Throne of Bone	1	Uncommon
274	Time Vault	2	Rare
275	Winter Orb	2	Rare
276	Wooden Sphere	1	Uncommon
277	Badlands	N/A	Rare
278	Bayou	N/A	Rare
279	Forest	N/A	Land
280	Forest	N/A	Land
281	Island	N/A	Land
282	Island	N/A	Land
283	Mountain	N/A	Land
284	Mountain	N/A	Land
285	Plains	N/A	Land
286	Plains	N/A	Land
287	Plateau	N/A	Rare
288	Savannah	N/A	Rare
289	Scrubland	N/A	Rare
290	Swamp	N/A	Land
291	Swamp	N/A	Land
292	Taiga	N/A	Rare
293	Tropical Island	N/A	Rare
294	Tundra	N/A	Rare
295	Underground Sea	N/A	Rare
